Tempat Tinggal,Pekerjaan Orang Tua,Penghasilan Orang Tua,Jumlah Tanggungan Orang Tua,Kendaraan,Kelayakan Keringanan UKT
0,PNS,10000000,3,1,0
0,TNI/POLRI,8000000,2,2,1
1,Petani,4000000,4,0,0
1,Nelayan,3000000,5,1,0
0,Buruh,2000000,2,1,1
1,Ibu Rumah Tangga,5000000,3,0,0
0,PNS,9000000,2,2,1
1,Wiraswasta,6000000,1,1,1
1,Guru,7000000,2,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
0,TNI/POLRI,8000000,2,2,1
1,Petani,4000000,3,0,0
1,Buruh,2000000,2,1,0
0,Guru,7000000,2,1,1
0,Ibu Rumah Tangga,3000000,4,1,1
1,PNS,10000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Petani,4000000,4,0,0
0,Buruh,2000000,2,1,1
1,TNI/POLRI,8000000,2,2,1
1,Nelayan,3000000,5,1,0
0,Guru,7000000,2,1,1
1,Ibu Rumah Tangga,5000000,3,0,1
0,PNS,9000000,2,2,1
1,Wiraswasta,6000000,1,1,0
0,Ibu Rumah Tangga,3000000,4,1,0
0,TNI/POLRI,8000000,2,2,1
1,Petani,4000000,3,0,0
1,Buruh,2000000,2,1,1
0,Guru,7000000,2,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
1,PNS,10000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Petani,4000000,4,0,0
0,Buruh,2000000,2,1,1
1,TNI/POLRI,8000000,2,2,1
1,Nelayan,3000000,5,1,0
0,Guru,7000000,2,1,1
1,Ibu Rumah Tangga,5000000,3,0,1
0,PNS,9000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
0,TNI/POLRI,8000000,2,2,1
1,Petani,4000000,3,0,0
1,Buruh,2000000,2,1,1
0,Guru,7000000,2,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
1,PNS,10000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Petani,4000000,4,0,0
0,Buruh,2000000,2,1,1
1,TNI/POLRI,8000000,2,2,1
1,Nelayan,3000000,5,1,0
0,Guru,7000000,2,1,1
1,Ibu Rumah Tangga,5000000,3,0,1
0,PNS,9000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
0,TNI/POLRI,8000000,2,2,1
1,Petani,4000000,3,0,0
1,Buruh,2000000,2,1,1
0,Guru,7000000,2,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
1,PNS,10000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Petani,4000000,4,0,0
0,Buruh,2000000,2,1,1
1,TNI/POLRI,8000000,2,2,1
1,Nelayan,3000000,5,1,0
0,Guru,7000000,2,1,1
1,Ibu Rumah Tangga,5000000,3,0,1
0,PNS,9000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
0,TNI/POLRI,8000000,2,2,1
1,Petani,4000000,3,0,0
1,Buruh,2000000,2,1,1
0,Guru,7000000,2,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
1,PNS,10000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Petani,4000000,4,0,0
0,Buruh,2000000,2,1,1
1,TNI/POLRI,8000000,2,2,1
1,Nelayan,3000000,5,1,0
0,Guru,7000000,2,1,1
1,Ibu Rumah Tangga,5000000,3,0,1
0,PNS,9000000,2,2,1
1,Wiraswasta,6000000,1,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
0,TNI/POLRI,8000000,2,2,1
1,Petani,4000000,3,0,0
1,Buruh,2000000,2,1,1
1,Guru,7000000,2,1,1
0,Ibu Rumah Tangga,3000000,4,1,0
0,PNS,9000000,2,2,1 1
1,Wiraswasta,6000000,1,1,1
1,TNI/POLRI,8000000,2,2,1
0,Nelayan,3000000,5,1,0
0,Petani,700000,3,1,0
