,username,Tweet,retweet_count,predicted_sentiment
0,Rai 🍥,  sosmedkeras  mudik      ddsqn5q4dh,444,positive
1,rq,pegel bat jancoek bekasi malang 20 jam ga lagi  nek bus di era mudik,0,neutral
2,inshaAllah lebih baik,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
3,Klikwarta.com,apresiasi irjen pol  p  royke  balik mudik gratis layanan prima polri untuk masyarakat      sldfput2zb  news  berita  kabar  popular  klikwaa  infomasyarakat  viral,0,neutral
4,Dis!, tanyakanrl ini mimpi buruk yang menghantui aku setiap mau mudik naik mobil ataupun bepergian dengan bus  tapi 2 tahun ini aku berhasil nggak mudik  ini yang aku lakukan  minum antimo sebelum berangkat  pakai masker  rileks ,0,neutral
5,Tisu Paseo,  midjan la 2  buat pelajaran aja  karena h   2 kurir pada mudik  pesan baju buat sang anak buat dipake pas lebaran  dijanjikan penjual a ,1,neutral
6,anakbaikbaik_,  sosmedkeras  mudik      ddsqn5q4dh,444,positive
7,Klikwarta.com,selebritis anang   ashanty apresiasi polda jawa timur arus mudik lebaran lancar      8hgoszsk84  news  berita  kabar  popular  klikwaa  infomasyarakat  viral,0,neutral
8,˙◠ ̫◠, prvthmnn wakakak betull  balek dr mudik,0,positive
9,acil,     wtyz2f3nfp  menko pmk muhadjir effendy mengatakan mudik berjalan lancar  dia beerima kasih kepada kapolri jenderal listyo sigit prabowo hingga menhub budi karya sumadi ,0,positive
10,Klikwarta.com,pastikan arus balik mudik lebaran kondisif  satgas pam lebaran laksanakan patroli dan himbauan      tpespccdch  news  berita  kabar  popular  klikwaa  infomasyarakat  viral,0,neutral
11,bumnsidempuanhebat,dalam mempersiapkan mudik lebaran 2023 di jalan tol yang dikelola  hutama karya melaksanakan kick off apel siaga    hutamakaryasiagamudikjtts  mudiklewatjtts      5bhmnh7tk4,0,neutral
12,24Hrs,  brownsugar100gr  gym terakhir sebelum mudik kerumah mu   udh siap di ebrut blm        kxb7lyhlfv,593,neutral
13,acil,     boopl0keov  kapolri jenderal listyo sigit menyampaikan arus balik mudik tahun 2023 ini merupakan yang teinggi sejak 2019  dia menyebut perlu dilakukan rekayasa lalin ,0,positive
14,Sutardi Mavin,  suharla65  pas waktu mudik di tawangmangu   mbah e meh melu teng  prestana  istana  suatu hari nanti   ganjarpranowo   ganjarcapres2024 ,13,neutral
15,d🧸,pulang mudik  bawaannya banyak  tapi pasangan hidupnya udah jalan duluan gak mau bantu      mgw8glxyb4,0,neutral
16,Polsek Pakenjeng PRESISI,wakapolda jawa barat brigjen  pol  bariza sulfi  s ik  melaksanakan penyambutan arus balik di rest area 62  karena hari ini volume kendaraan arus balik mudik lebaran sudah mulai meningkat  minggu  30 4 2023        1jgi8yvdtn,0,neutral
17,Eomamama Achu 🌼,gw dari jaman kecil jalan tiayasa begajulan mulu tiap mudik  anjrot ampe bingung sama kampung bokap gw  kok bisa idup dgn jalan begajulan berpuluh2 taun lamanya  mana airnya tercemar limbah  gw slalu pengen pulang tiap mudik ke rumah nenek dulu saking ganyamannya      x63k0f0s42,0,negative
18,kinos, xeesoxey masih mudik mungkin,0,negative
19,Jevano, naajaeminlv pulang mudik ,0,neutral
20,-_-,  inizali  akhir2 ini tiap malem w suka buka yutub prank mudik wkwk     seru banget sampe nangis     salah satunya ini  mbacx dah 5 taun ,107,positive
21,Luwakpanda,  utisimanjuntak  selingkuh sama pacar temen dikosan waktu ditinggal mudik  promo 25k join group terlengkap   info join  gt       l7 ,403,neutral
22,dee,  inizali  akhir2 ini tiap malem w suka buka yutub prank mudik wkwk     seru banget sampe nangis     salah satunya ini  mbacx dah 5 taun ,107,positive
23,bumnsidempuanhebat, sobatbumn siapa yang mudik lewat jalur udara  absen di sini    yuk  simak fakta dan angkanya    mudikamanberkesan  mudikdinantimudikdihati      vbyd9qkf8f,0,neutral
24,Kapten69.Official,nyantai dulu ah gantian   link        1znjktrqjh telegram        knvwprqevg  kapten69  peluang69  kapten69slot  kapten69alternatif  kapten69login  masukkapten69  cewekngentot  slot  slotonline  mudik  viral  virgoun  lagiviral      f8sadmhy71,0,neutral
25,VIVIT POST FUNERA VIRTUS, jalanke83957796  icharis  dennysiregar7 buktinya mana di jual ke china    buktinya kemarin mudik semua lewat tol  jangan halu,0,negative
26,@kosonggg,a thread   pengalaman tidak mengenakan mudik ke lampung     sungguh sudah habis kata tapi aku bisa apa hanya bisa mencoba bercerita disini,0,positive
27,al, leejuye0nly juyeon nya lagi arus balik abis mudik  anggap sj spi itu ,0,positive
28,Dua Kelinci, maziftakh gimana perjalanan mudik kemarin  nyetok kacang dua kelinci di perjalanan ga niiiii  ,0,negative
29,Bronges,  asasfuro   bambangmulyonoo  andisinulingga anies yg berjuang umr mahal  bearung dengan pengusaha  real bela rakyat    kalian gak tahu ,1,negative
30,🇮🇩PAK UBAN KEYEN 🇮🇩,  veelaarhie  mudik lebaran 2023 lancar dan sukses bukti keberhasilan pemerintah dan infrastruktur jalan tol bisa berguna utk masyarakat ,4,positive
31,Muhammad Iqbal,  akang hero  idul fitri 2023 kemarin saya mudik ke kampung ibu saya di garawangi kuningan  ada cerita menarik dari adik saya  bahwa sete ,182,positive
32,frans_15,  antaranews  muhadjir effendy  menko pmk  mengatakan kenyamanan dan keamanan masyarakat selama arus mudik dan arus milir lebaran 2023 me ,1,neutral
