Tahun,Sosial,Rumah Tangga,Bisnis,Industri,Lainnya,Jumlah
2012,24640,653467,117830,4691520,32017,5519473
2013,27975,730450,114459,4742550,45083,5661236
2014,31843,774804,134813,4781701,61247,5784408
2015,26959,704418,149497,5003347,53047,5940219
2016,141352,3098139,1375627,4937351,246033,14298502
2017,157611,3411916,1510029,10962941,250567,16293265
2018,186626,3680989,1930786,11471663,411889,17682053
2019,185225,4050452,1789882,12353842,511336,18890594
2020,59503,1596271,186721,7393955,640704,9833522
2021,62072,1517952,313643,6171390,326378,8391435
